,Date,Positive,Negative,Neutral,Compound,Closing_price,Opening_price,High_price,Low_price
0,11/18/2013,0,0,1,0,693.65,510.6025,781.82624,491.585
1,11/19/2013,0.199,0,0.801,0.38155,531.54249,693.65,716.825,394.90624
2,11/25/2013,0,0,1,0,789.36475,768.8475,793.71424,739.8375
3,11/26/2013,0,0.047,0.953,-0.1462,893.1815,789.36475,904.585,787.19
4,11/27/2013,0.094,0.086,0.82,0.0531,934.355,893.1815,965.2525,870.38525
5,11/28/2013,0,0.0515,0.9485,-0.1462,1068.363,934.355,1084.9466,912.931
6,11/29/2013,0.262,0.058,0.68,0.6369,1154.92593,1068.363,1157.49894,1028.22683
7,12/2/2013,0,0,1,0,1028.845,1019.78966,1049.67916,929.95483
8,12/3/2013,0.098,0.071,0.831,0.2263,1071.2848,1028.845,1092.83331,1021.177
9,12/4/2013,0.098,0,0.902,0.3612,1139.33083,1071.2848,1151.29749,1066.87277
10,12/6/2013,0.239,0,0.761,0.5719,759.43041,1004.61633,1038.55,656.87499
11,12/9/2013,0.232,0,0.768,0.4158,916.77599,841.83966,948.68183,809.91748
12,12/15/2013,0.144,0,0.856,0.2912,868.95316,848.9975,886.23583,819.43828
13,12/16/2013,0.093,0.065,0.841,0.1531,653.80483,868.95316,876.21516,636.15056
14,12/18/2013,0.092,0.407,0.501,-0.8006,553.69166,654.06266,654.06266,422.497
15,12/21/2013,0,0,1,0,595.95883,649.38965,651.8435,580.72816
16,12/22/2013,0.1025,0.0935,0.804,0.0318,647.68316,595.95883,671.59166,594.36595
17,12/23/2013,0.122,0,0.878,0.3612,671.58116,647.68316,685.3675,632.5431
18,12/26/2013,0,0,1,0,758.01016,702.00083,780.93666,698.07
19,12/27/2013,0.1095,0,0.8905,0.31845,734.01166,758.01016,772.90666,723.98666
20,12/28/2013,0,0.468,0.532,-0.6597,717.92623,734.01166,753.83333,705.1025
21,12/29/2013,0.189,0,0.811,0.6369,752.82022,717.92623,759.6362,713.751
22,12/30/2013,0.245,0,0.755,0.3818,744.17249,752.82022,763.83,743.7
23,12/31/2013,0.329,0,0.671,0.6597,768.40783,744.17249,772.959,733.19433
24,1/2/2014,0,0.227,0.773,-0.6249,804.02719,769.09849,826.34166,768.15367
25,1/3/2014,0.091,0,0.909,0.296,813.31748,804.02719,839.85833,798.11833
26,1/5/2014,0.126,0,0.874,0.3818,970.65083,871.11583,972.00354,861.25831
27,1/7/2014,0.152,0,0.848,0.3612,855.75933,962.46447,970.22516,788.70166
28,1/9/2014,0.299,0,0.701,0.6649,847.5325,860.84166,880.64166,814.17054
29,1/10/2014,0.2695,0.028,0.7025,0.6461,892.26115,847.5325,902.035,837.57458
30,1/23/2014,0.04,0,0.96,0.0386,838.14997,864.56116,866.45964,834.99822
31,1/24/2014,0.464,0,0.536,0.3818,834.57416,838.14997,838.26,810.64042
32,1/26/2014,0.246,0.094,0.66,0.6208,887.08337,858.12641,899.2283,851.74833
33,1/27/2014,0,0,1,0,830.53133,887.08337,887.37698,800.03833
34,1/28/2014,0,0,1,0,832.89496,830.53133,860.24269,798.18333
35,1/29/2014,0.415,0.179,0.407,0.4404,832.87399,832.89496,846.92594,832.25583
36,2/1/2014,0,0,1,0,854.7225,847.36383,869.4796,843.35344
37,2/7/2014,0.18025,0.275,0.545,-0.09565,692.66914,748.43559,758.33833,658.83333
38,2/8/2014,0.286,0,0.714,0.6369,668.86463,692.66914,721.64138,657.87721
39,2/9/2014,0,0.289,0.711,-0.7845,700.44843,668.86463,711.97109,662.74428
40,2/12/2014,0,0,1,0,645.615,665.7975,671.9975,633.395
41,2/16/2014,0.174666667,0.108666667,0.716666667,0.121933333,611.04499,656.2725,657.2725,576.025
42,2/19/2014,0.142,0.121,0.737,0.1027,619.8425,618.79,625.4225,612.5025
43,2/20/2014,0.038,0.2745,0.6875,-0.73275,545.7625,619.8425,620.84,525.0725
44,2/23/2014,0.116,0,0.884,0.1779,572.7675,622.22,637.5025,567.5
45,2/25/2014,0.121,0.0774,0.8018,0.0656,550.6025,501.155,562.54499,418.755
46,2/26/2014,0.0515,0.144,0.8045,-0.214825,573.1025,550.6025,599.505,548.98749
47,2/27/2014,0.17,0.302,0.528,-0.4151,567.2925,573.1025,583.7825,558.2225
48,2/28/2014,0.05875,0.17825,0.763,-0.20595,551.73,567.2925,570.7875,535.87
49,3/1/2014,0.135,0,0.865,0.3612,560.195,551.73,570.0025,548.7825
50,3/3/2014,0.1295,0.1075,0.763,0.006,666.1475,567.7,681.615,562.3025
51,3/4/2014,0.0805,0.1075,0.812,-0.13185,660.84,666.1475,698.05,653.525
52,3/5/2014,0,0.142,0.858,-0.3173,662.0225,660.84,666.3275,643.525
53,3/6/2014,0.08425,0.16325,0.7525,-0.129975,651.285,662.0225,663.74,644.345
54,3/7/2014,0.118,0.0944,0.7876,0.06578,612.33,651.285,653.98249,611.02
55,3/8/2014,0,0.406,0.594,-0.8481,611.1625,612.33,626.25,600.99249
56,3/9/2014,0.175,0,0.825,0.35595,637.615,611.1625,644.8825,610.0675
57,3/12/2014,0,0.061,0.939,-0.128,631.755,633.74749,639.5375,627.3925
58,3/13/2014,0,0,1,0,636.41414,631.755,641.66999,631.315
59,3/14/2014,0.0725,0.147,0.7805,-0.007,628.18751,636.41414,636.75668,624.77166
60,3/17/2014,0,0.099,0.901,-0.296,617.24333,630.34833,630.77666,616.17333
61,3/20/2014,0.103,0,0.897,0.3182,581.33333,601.015,604.52831,579.55331
62,3/21/2014,0.121,0.088,0.791,0.1779,570.36168,581.33333,605.15331,563.46166
63,3/23/2014,0,0,1,0,557.16833,562.95333,570.33081,551.16331
64,3/24/2014,0,0,1,0,573.34998,557.16833,587.98666,552.12997
65,3/25/2014,0,0,1,0,572.49161,573.34998,585.57499,570.43831
66,3/26/2014,0,0,1,0,570.54833,572.49161,589.95497,561.61165
67,3/27/2014,0,0,1,0,509.70665,570.54833,571.57667,471.01833
68,3/31/2014,0.0665,0,0.9335,0.1591,464.88,472.4783,472.4783,442.19166
69,4/2/2014,0.1585,0,0.8415,0.33525,427.87498,480.16581,494.98333,419.705
70,4/3/2014,0,0,1,0,432.99716,427.87498,456.34863,414.41333
71,4/4/2014,0,0,1,0,453.87148,432.99716,455.99333,428.63
72,4/6/2014,0,0,1,0,456.46948,462.445,466.475,450.80566
73,4/8/2014,0.17,0.205,0.625,0.0516,450.48083,452.81,456.88188,446.71668
74,4/10/2014,0.163,0,0.837,0.2202,374.59166,426.98333,427.5385,344.22166
75,4/22/2014,0,0,1,0,487.84,497.65001,498.59166,482.73666
76,4/23/2014,0.2715,0,0.7285,0.5329,487.11333,487.84,489.32333,480.58666
77,4/27/2014,0.2115,0,0.7885,0.4841,426.78166,452.14829,457.45584,423.40166
78,4/29/2014,0,0,1,0,444.85668,432.60498,449.08171,431.00828
79,5/2/2014,0.1685,0,0.8315,0.36345,441.97833,453.59833,453.59833,439.90333
80,5/10/2014,0.25,0.137,0.613,0.34,449.74166,449.04333,453.54333,446.21333
81,5/16/2014,0.192,0,0.808,0.765,445.60666,443.18,447.15166,442.29
82,6/5/2014,0,0,1,0,652.52666,642.89166,664.97833,639.42833
83,6/10/2014,0,0,1,0,642.00666,644.085,657.97,640.465
84,6/15/2014,0,0,1,0,589.06666,570.28833,593.54833,551.31
85,6/16/2014,0.128,0,0.872,0.4215,592.25666,589.06666,606.82166,585.685
