,Unnamed: 0,Date,Positive,Negative,Neutral,Compound,Closing_price,Opening_price,High_price,Low_price
0,0,2013-11-18,0.0,0.0,1.0,0.0,[693.65],[510.6025],[781.82624],[491.585]
1,1,2013-11-19,0.19899999999999998,0.0,0.8009999999999999,0.38155,[531.54249],[693.65],[716.825],[394.90624]
2,2,2013-11-25,0.0,0.0,1.0,0.0,[789.36475],[768.8475],[793.71424],[739.8375]
3,3,2013-11-26,0.0,0.047,0.953,-0.1462,[893.1815],[789.36475],[904.585],[787.19]
4,4,2013-11-27,0.094,0.086,0.82,0.0531,[934.355],[893.1815],[965.2525],[870.38525]
5,5,2013-11-28,0.0,0.0515,0.9485,-0.1462,[1068.363],[934.355],[1084.9466],[912.931]
6,6,2013-11-29,0.262,0.057999999999999996,0.68,0.6369,[1154.92593],[1068.363],[1157.49894],[1028.22683]
7,7,2013-12-02,0.0,0.0,1.0,0.0,[1028.845],[1019.78966],[1049.67916],[929.95483]
8,8,2013-12-03,0.098,0.071,0.831,0.2263,[1071.2848],[1028.845],[1092.83331],[1021.177]
9,9,2013-12-04,0.098,0.0,0.902,0.3612,[1139.33083],[1071.2848],[1151.29749],[1066.87277]
10,10,2013-12-06,0.239,0.0,0.7609999999999999,0.5719,[759.43041],[1004.61633],[1038.55],[656.87499]
11,11,2013-12-09,0.23199999999999998,0.0,0.768,0.4158,[916.77599],[841.83966],[948.68183],[809.91748]
12,12,2013-12-15,0.14400000000000002,0.0,0.856,0.2912,[868.95316],[848.9975],[886.23583],[819.43828]
13,13,2013-12-16,0.09300000000000001,0.065,0.841,0.1531,[653.80483],[868.95316],[876.21516],[636.15056]
14,14,2013-12-18,0.092,0.40700000000000003,0.501,-0.8006,[553.69166],[654.06266],[654.06266],[422.497]
15,15,2013-12-21,0.0,0.0,1.0,0.0,[595.95883],[649.38965],[651.8435],[580.72816]
16,16,2013-12-22,0.1025,0.0935,0.804,0.031799999999999995,[647.68316],[595.95883],[671.59166],[594.36595]
17,17,2013-12-23,0.122,0.0,0.878,0.3612,[671.58116],[647.68316],[685.3675],[632.5431]
18,18,2013-12-26,0.0,0.0,1.0,0.0,[758.01016],[702.00083],[780.93666],[698.07]
19,19,2013-12-27,0.1095,0.0,0.8905000000000001,0.31845,[734.01166],[758.01016],[772.90666],[723.98666]
20,20,2013-12-28,0.0,0.46799999999999997,0.532,-0.6597,[717.92623],[734.01166],[753.83333],[705.1025]
21,21,2013-12-29,0.18899999999999997,0.0,0.8109999999999999,0.6369,[752.82022],[717.92623],[759.6362],[713.751]
22,22,2013-12-30,0.245,0.0,0.755,0.3818,[744.17249],[752.82022],[763.83],[743.7]
23,23,2013-12-31,0.32899999999999996,0.0,0.6709999999999999,0.6597,[768.40783],[744.17249],[772.959],[733.19433]
24,24,2014-01-02,0.0,0.22699999999999998,0.773,-0.6249,[804.02719],[769.09849],[826.34166],[768.15367]
25,25,2014-01-03,0.091,0.0,0.909,0.29600000000000004,[813.31748],[804.02719],[839.85833],[798.11833]
26,26,2014-01-05,0.126,0.0,0.8740000000000001,0.3818,[970.65083],[871.11583],[972.00354],[861.25831]
27,27,2014-01-07,0.152,0.0,0.848,0.3612,[855.75933],[962.46447],[970.22516],[788.70166]
28,28,2014-01-09,0.299,0.0,0.701,0.6649,[847.5325],[860.84166],[880.64166],[814.17054]
29,29,2014-01-10,0.2695,0.027999999999999997,0.7025,0.6461,[892.26115],[847.5325],[902.035],[837.57458]
