,Date,Positive,Negative,Neutral,Compound
0,2013-11-18,0.0,0.0,1.0,0.0
1,2013-11-19,0.199,0.0,0.8009999999999999,0.38155
2,2013-11-25,0.0,0.0,1.0,0.0
3,2013-11-26,0.0,0.047,0.9530000000000001,-0.1462
4,2013-11-27,0.094,0.086,0.82,0.0531
5,2013-11-28,0.0,0.0515,0.9485,-0.1462
6,2013-11-29,0.262,0.058,0.68,0.6369
7,2013-12-02,0.0,0.0,1.0,0.0
8,2013-12-03,0.098,0.071,0.831,0.2263
9,2013-12-04,0.098,0.0,0.902,0.3612
10,2013-12-06,0.239,0.0,0.761,0.5719
11,2013-12-09,0.232,0.0,0.768,0.4158
12,2013-12-15,0.144,0.0,0.856,0.2912
13,2013-12-16,0.093,0.065,0.841,0.1531
14,2013-12-18,0.092,0.407,0.501,-0.8006
15,2013-12-21,0.0,0.0,1.0,0.0
16,2013-12-22,0.1025,0.0935,0.804,0.031799999999999995
17,2013-12-23,0.122,0.0,0.878,0.3612
18,2013-12-26,0.0,0.0,1.0,0.0
19,2013-12-27,0.1095,0.0,0.8905000000000001,0.31845
20,2013-12-28,0.0,0.468,0.532,-0.6597
21,2013-12-29,0.189,0.0,0.811,0.6369
22,2013-12-30,0.245,0.0,0.755,0.3818
23,2013-12-31,0.329,0.0,0.671,0.6597
24,2014-01-02,0.0,0.227,0.773,-0.6249
25,2014-01-03,0.091,0.0,0.909,0.296
26,2014-01-05,0.126,0.0,0.874,0.3818
27,2014-01-07,0.152,0.0,0.848,0.3612
28,2014-01-09,0.299,0.0,0.701,0.6649
29,2014-01-10,0.26949999999999996,0.028,0.7025,0.6461
30,2014-01-23,0.04,0.0,0.96,0.0386
31,2014-01-24,0.464,0.0,0.536,0.3818
32,2014-01-26,0.246,0.094,0.66,0.6208
33,2014-01-27,0.0,0.0,1.0,0.0
34,2014-01-28,0.0,0.0,1.0,0.0
35,2014-01-29,0.415,0.179,0.407,0.4404
36,2014-02-01,0.0,0.0,1.0,0.0
37,2014-02-07,0.18025000000000002,0.275,0.5449999999999999,-0.09564999999999996
38,2014-02-08,0.286,0.0,0.714,0.6369
39,2014-02-09,0.0,0.289,0.711,-0.7845
40,2014-02-12,0.0,0.0,1.0,0.0
41,2014-02-16,0.17466666666666666,0.10866666666666665,0.7166666666666667,0.12193333333333334
42,2014-02-19,0.142,0.121,0.737,0.1027
43,2014-02-20,0.038,0.27449999999999997,0.6875,-0.73275
44,2014-02-23,0.116,0.0,0.884,0.1779
45,2014-02-25,0.121,0.0774,0.8018000000000001,0.06560000000000002
46,2014-02-26,0.051500000000000004,0.14400000000000002,0.8045,-0.21482500000000002
47,2014-02-27,0.17,0.302,0.528,-0.4151
48,2014-02-28,0.05875,0.17825,0.7630000000000001,-0.20595
49,2014-03-01,0.135,0.0,0.865,0.3612
50,2014-03-03,0.1295,0.1075,0.763,0.006000000000000005
51,2014-03-04,0.0805,0.1075,0.812,-0.13185
