Date,Positive,Negative,Neutral,Compound,Closing_price
11/18/2013,0,0,1,0,693.65
11/19/2013,0.199,0,0.801,0.38155,531.54249
11/25/2013,0,0,1,0,789.36475
11/26/2013,0,0.047,0.953,-0.1462,893.1815
11/27/2013,0.094,0.086,0.82,0.0531,934.355
11/28/2013,0,0.0515,0.9485,-0.1462,1068.363
11/29/2013,0.262,0.058,0.68,0.6369,1154.92593
12/2/2013,0,0,1,0,1028.845
12/3/2013,0.098,0.071,0.831,0.2263,1071.2848
12/4/2013,0.098,0,0.902,0.3612,1139.33083
12/6/2013,0.239,0,0.761,0.5719,759.43041
12/9/2013,0.232,0,0.768,0.4158,916.77599
12/15/2013,0.144,0,0.856,0.2912,868.95316
12/16/2013,0.093,0.065,0.841,0.1531,653.80483
12/18/2013,0.092,0.407,0.501,-0.8006,553.69166
12/21/2013,0,0,1,0,595.95883
12/22/2013,0.1025,0.0935,0.804,0.0318,647.68316
12/23/2013,0.122,0,0.878,0.3612,671.58116
12/26/2013,0,0,1,0,758.01016
12/27/2013,0.1095,0,0.8905,0.31845,734.01166
12/28/2013,0,0.468,0.532,-0.6597,717.92623
12/29/2013,0.189,0,0.811,0.6369,752.82022
12/30/2013,0.245,0,0.755,0.3818,744.17249
12/31/2013,0.329,0,0.671,0.6597,768.40783
1/2/2014,0,0.227,0.773,-0.6249,804.02719
1/3/2014,0.091,0,0.909,0.296,813.31748
1/5/2014,0.126,0,0.874,0.3818,970.65083
1/7/2014,0.152,0,0.848,0.3612,855.75933
1/9/2014,0.299,0,0.701,0.6649,847.5325
1/10/2014,0.2695,0.028,0.7025,0.6461,892.26115
1/23/2014,0.04,0,0.96,0.0386,838.14997
1/24/2014,0.464,0,0.536,0.3818,834.57416
1/26/2014,0.246,0.094,0.66,0.6208,887.08337
1/27/2014,0,0,1,0,830.53133
1/28/2014,0,0,1,0,832.89496
1/29/2014,0.415,0.179,0.407,0.4404,832.87399
2/1/2014,0,0,1,0,854.7225
2/7/2014,0.18025,0.275,0.545,-0.09565,692.66914
2/8/2014,0.286,0,0.714,0.6369,668.86463
2/9/2014,0,0.289,0.711,-0.7845,700.44843
2/12/2014,0,0,1,0,645.615
2/16/2014,0.174666667,0.108666667,0.716666667,0.121933333,611.04499
2/19/2014,0.142,0.121,0.737,0.1027,619.8425
2/20/2014,0.038,0.2745,0.6875,-0.73275,545.7625
2/23/2014,0.116,0,0.884,0.1779,572.7675
2/25/2014,0.121,0.0774,0.8018,0.0656,550.6025
